_id,genre,year,gross,inflation_adjusted_gross,movies_released,tickets_sold,gross_per_movie,tickets_per_movie,decade,top_movie,top_movie_gross,top_movie_inflation_adjusted_gross
6902a3f2df16f61a280484cd,Comedy,2003,1802604618.0,2681486140.0,82,298939369.0,21982983.14634146,3645602.06097561,2000s,Bruce Almighty,242704995.0,361038729.016098
6902a3f2df16f61a280484d0,Comedy,2006,1954939739.0,2677222241.0,125,298464018.0,15639517.912,2387712.144,2000s,Talladega Nights: The Ballad of Ricky Bobby,148213377.0,202973084.746382
6902a3f2df16f61a280484a7,Action,2013,2423174736.0,2673539438.0,45,298053449.0,53848327.46666667,6623409.977777778,2010s,Iron Man 3,408992272.0,451249739.766692
6902a3f2df16f61a2804847e,Adventure,1996,1290490033.0,2618935504.0,34,291966054.0,37955589.205882356,8587236.88235294,1990s,Independence Day,306169255.0,621343452.214582
6902a3f2df16f61a280484aa,Action,2016,2533249471.0,2600865547.0,61,289951566.0,41528679.85245901,4753304.360655738,2010s,Captain America: Civil War,408084349.0,418976707.874352
6902a3f2df16f61a280484b1,Drama,1999,1458861532.0,2575981251.0,133,287177397.0,10968883.69924812,2159228.5488721803,1990s,The General's Daughter,102705852.0,181352611.825521
6902a3f2df16f61a280484cf,Comedy,2005,1825866367.0,2555072935.0,129,284846481.0,14154002.84496124,2208112.2558139535,2000s,Wedding Crashers,209218368.0,292775089.811198
6902a3f2df16f61a280484c7,Comedy,1997,1296925200.0,2534513641.0,72,282554475.0,18012850.0,3924367.7083333335,1990s,Liar Liar,181410615.0,354521354.307634
6902a3f2df16f61a280484a6,Action,2012,2219838801.0,2501501520.0,48,278874194.0,46246641.6875,5809879.041666667,2010s,The Avengers,623279547.0,702363943.500333
6902a3f2df16f61a28048496,Action,1996,1222675745.0,2481312400.0,36,276623456.0,33963215.13888889,7683984.888888889,1990s,Twister,241688385.0,490485223.976103
6902a3f2df16f61a280484b4,Drama,2002,1601890899.0,2473142300.0,175,275712631.0,9153662.28,1575500.7485714285,2000s,A Beautiful Mind,132929755.0,205228833.139863
6902a3f2df16f61a280484ca,Comedy,2000,1482623604.0,2467371370.0,79,275069272.0,18767387.392405063,3481889.518987342,2000s,Meet the Parents,161325490.0,268476701.843485
6902a3f2df16f61a280484ce,Comedy,2004,1674423943.0,2418611849.0,120,269633428.0,13953532.858333332,2246945.2333333334,2000s,Meet the Fockers,162461370.0,234666373.548609
6902a3f2df16f61a280484c9,Comedy,1999,1352538228.0,2388241394.0,69,266247647.0,19602003.304347824,3858661.5507246377,1990s,Austin Powers: The Spy Who Shagged Me,206040085.0,363814825.809329
6902a3f2df16f61a280484cb,Comedy,2001,1477683205.0,2341840310.0,88,261074728.0,16791854.602272727,2966758.272727273,2000s,American Pie 2,145096820.0,229950222.60459
6902a3f2df16f61a280484af,Drama,1997,1198241550.0,2341661081.0,117,261054747.0,10241380.76923077,2231237.153846154,1990s,The Godfather,129141981.0,252375450.368034
6902a3f2df16f61a280484d2,Comedy,2008,2099450726.0,2234737577.0,125,249134624.0,16795605.808,1993076.992,2000s,Sex and the City,152647258.0,162483719.791104
6902a3f2df16f61a28048482,Adventure,2000,1327311892.0,2208902928.0,30,246254507.0,44243729.733333334,8208483.566666666,2000s,How the Grinch Stole Christmas,253367455.0,421652300.851538
6902a3f2df16f61a2804849b,Action,2001,1390622699.0,2203866596.0,31,245693043.0,44858796.741935484,7925582.0322580645,2000s,Rush Hour 2,226164286.0,358426419.676607
6902a3f2df16f61a280484a5,Action,2011,2117521464.0,2185383938.0,47,243632546.0,45053648.17021277,5183671.191489362,2010s,Transformers: Dark of the Moon,352390543.0,363683979.439133
