,movies_released,gross,tickets_sold,inflation_adjusted_gross,top_movie_gross,top_movie_inflation_adjusted_gross,gross_per_movie,tickets_per_movie
count,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
mean,46.7,738207510.7466667,107874357.24,967632984.43,135001611.69666666,176625508.85865727,18842001.242675077,2831091.0477980976
std,60.93839753648254,878301644.512916,122745397.58199073,1101026216.3434367,139500590.99821654,173708909.85622838,19081616.30242047,2821147.1124668545
min,1.0,2010.0,225.0,2018.0,2010.0,2018.0,2010.0,225.0
25%,6.0,57865912.0,8275600.5,74232136.25,25287066.75,36039075.867277674,4899672.056818182,606030.7658102767
50%,25.0,369411821.5,56346672.0,505429648.0,93513963.0,122336028.6026825,13700978.613636363,1929363.236111111
75%,56.25,1294523505.0,185996760.0,1668390936.75,188622971.5,284190709.0620145,26455231.00630252,4307687.65
max,287.0,4159137913.0,485184060.0,4352101018.0,742208942.0,847883130.859544,98906921.33333333,12526404.21875
