_id,data
Thriller or Suspense,"[{'year': 1995, 'movies_released': 19}, {'year': 1996, 'movies_released': 22}, {'year': 1997, 'movies_released': 23}, {'year': 1998, 'movies_released': 22}, {'year': 1999, 'movies_released': 17}, {'year': 2000, 'movies_released': 27}, {'year': 2001, 'movies_released': 26}, {'year': 2002, 'movies_released': 33}, {'year': 2003, 'movies_released': 20}, {'year': 2004, 'movies_released': 30}, {'year': 2005, 'movies_released': 25}, {'year': 2006, 'movies_released': 35}, {'year': 2007, 'movies_released': 57}, {'year': 2008, 'movies_released': 51}, {'year': 2009, 'movies_released': 55}, {'year': 2010, 'movies_released': 51}, {'year': 2011, 'movies_released': 60}, {'year': 2012, 'movies_released': 64}, {'year': 2013, 'movies_released': 70}, {'year': 2014, 'movies_released': 62}, {'year': 2015, 'movies_released': 72}, {'year': 2016, 'movies_released': 64}, {'year': 2017, 'movies_released': 63}, {'year': 2018, 'movies_released': 56}]"
Comedy,"[{'year': 1995, 'movies_released': 61}, {'year': 1996, 'movies_released': 69}, {'year': 1997, 'movies_released': 72}, {'year': 1998, 'movies_released': 74}, {'year': 1999, 'movies_released': 69}, {'year': 2000, 'movies_released': 79}, {'year': 2001, 'movies_released': 88}, {'year': 2002, 'movies_released': 82}, {'year': 2003, 'movies_released': 82}, {'year': 2004, 'movies_released': 120}, {'year': 2005, 'movies_released': 129}, {'year': 2006, 'movies_released': 125}, {'year': 2007, 'movies_released': 134}, {'year': 2008, 'movies_released': 125}, {'year': 2009, 'movies_released': 87}, {'year': 2010, 'movies_released': 77}, {'year': 2011, 'movies_released': 96}, {'year': 2012, 'movies_released': 94}, {'year': 2013, 'movies_released': 98}, {'year': 2014, 'movies_released': 102}, {'year': 2015, 'movies_released': 121}, {'year': 2016, 'movies_released': 98}, {'year': 2017, 'movies_released': 74}, {'year': 2018, 'movies_released': 74}]"
Drama,"[{'year': 1995, 'movies_released': 131}, {'year': 1996, 'movies_released': 121}, {'year': 1997, 'movies_released': 117}, {'year': 1998, 'movies_released': 129}, {'year': 1999, 'movies_released': 133}, {'year': 2000, 'movies_released': 166}, {'year': 2001, 'movies_released': 151}, {'year': 2002, 'movies_released': 175}, {'year': 2003, 'movies_released': 174}, {'year': 2004, 'movies_released': 228}, {'year': 2005, 'movies_released': 266}, {'year': 2006, 'movies_released': 252}, {'year': 2007, 'movies_released': 249}, {'year': 2008, 'movies_released': 256}, {'year': 2009, 'movies_released': 196}, {'year': 2010, 'movies_released': 208}, {'year': 2011, 'movies_released': 244}, {'year': 2012, 'movies_released': 228}, {'year': 2013, 'movies_released': 231}, {'year': 2014, 'movies_released': 254}, {'year': 2015, 'movies_released': 287}, {'year': 2016, 'movies_released': 282}, {'year': 2017, 'movies_released': 253}, {'year': 2018, 'movies_released': 266}]"
Action,"[{'year': 1995, 'movies_released': 29}, {'year': 1996, 'movies_released': 36}, {'year': 1997, 'movies_released': 36}, {'year': 1998, 'movies_released': 30}, {'year': 1999, 'movies_released': 25}, {'year': 2000, 'movies_released': 31}, {'year': 2001, 'movies_released': 31}, {'year': 2002, 'movies_released': 32}, {'year': 2003, 'movies_released': 36}, {'year': 2004, 'movies_released': 28}, {'year': 2005, 'movies_released': 41}, {'year': 2006, 'movies_released': 33}, {'year': 2007, 'movies_released': 38}, {'year': 2008, 'movies_released': 36}, {'year': 2009, 'movies_released': 31}, {'year': 2010, 'movies_released': 31}, {'year': 2011, 'movies_released': 47}, {'year': 2012, 'movies_released': 48}, {'year': 2013, 'movies_released': 45}, {'year': 2014, 'movies_released': 49}, {'year': 2015, 'movies_released': 56}, {'year': 2016, 'movies_released': 61}, {'year': 2017, 'movies_released': 67}, {'year': 2018, 'movies_released': 59}]"
Adventure,"[{'year': 1995, 'movies_released': 29}, {'year': 1996, 'movies_released': 34}, {'year': 1997, 'movies_released': 23}, {'year': 1998, 'movies_released': 29}, {'year': 1999, 'movies_released': 27}, {'year': 2000, 'movies_released': 30}, {'year': 2001, 'movies_released': 32}, {'year': 2002, 'movies_released': 45}, {'year': 2003, 'movies_released': 46}, {'year': 2004, 'movies_released': 47}, {'year': 2005, 'movies_released': 43}, {'year': 2006, 'movies_released': 44}, {'year': 2007, 'movies_released': 41}, {'year': 2008, 'movies_released': 57}, {'year': 2009, 'movies_released': 49}, {'year': 2010, 'movies_released': 44}, {'year': 2011, 'movies_released': 51}, {'year': 2012, 'movies_released': 48}, {'year': 2013, 'movies_released': 40}, {'year': 2014, 'movies_released': 49}, {'year': 2015, 'movies_released': 51}, {'year': 2016, 'movies_released': 53}, {'year': 2017, 'movies_released': 44}, {'year': 2018, 'movies_released': 49}]"
